工单编号,工单类型,问题分类,标签,标题,主要内容,工单状态,来电人,来电人电话/账号,被反映区,被反映街乡镇,办理结果,回复内容,处理受理方式,办结时间,企业名称,是否解决,是否满意,工单性质,村/社区,小区点位
热线-241227-000000,诉求,劳动和社会保障->拖欠工资->工程建设领域,,投诉拖欠工资领域工程建设领域事项,来电人表示，其在房山区张坊镇辖区某医院西门附近发现拖欠工资方面工程建设领域情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,赵某,150××××,房山区,张坊镇,,,电话,2024-03-19 17:46:52,北京某工程有限公司,未解决,不满意,转办,某居委会,某医院西门
热线-250301-000001,咨询,城市管理->市政设施->道路破损,接诉即办,投诉市政设施领域道路破损事项,来电人表示，其在房山区霞云岭乡辖区某村主街附近发现市政设施方面道路破损情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,,杨某,156××××,房山区,霞云岭乡,,,系统转派,,北京某商贸有限公司,解决,基本满意,主办,某居委会,某村主街
热线-240429-000002,求助,科体文宣->文化->文物保护,营商环境,请求协调处理文物保护问题,诉求人反映，房山区十渡镇范围内十渡景区入口沿线涉及文物保护问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,陈某,151××××,房山区,十渡镇,,,现场,2024-02-10 19:11:09,北京某健身休闲有限公司,解决,基本满意,主办,某村,十渡景区入口沿线
热线-241122-000003,控烟,,营商环境,写字楼楼道吸烟,市民反映，房山区韩村河镇某路口人行横道公共卫生间存在吸烟问题，影响公共环境，来电反映控烟管理问题。,回复完成,王某,198××××,房山区,韩村河镇,,经核实，属地已安排工作人员现场劝导并督促管理方落实控烟管理责任。,,2024-12-12 14:21:05,,,,主办,某村党支部,某路口人行横道
热线-240111-000004,咨询,教育->校外培训->预收费纠纷,控烟,关于迎风街道某农贸市场的情况反映,来电人表示，其在房山区迎风街道辖区某农贸市场附近发现校外培训方面预收费纠纷情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,吴某,130××××,房山区,迎风街道,已转行业主管部门处理，聚焦“预收费纠纷”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与迎风街道相关单位沟通，针对“预收费纠纷”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,系统转派,2025-03-06 13:51:42,,未解决,不满意,协办,不详,某农贸市场
热线-250126-000005,求助,教育->校外培训->预收费纠纷,,关于霞云岭乡某农贸市场的情况反映,来电人表示，其在房山区霞云岭乡辖区某农贸市场附近发现校外培训方面预收费纠纷情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,张某,151××××,房山区,霞云岭乡,,工作人员联系诉求人并开展核实。经与霞云岭乡相关单位沟通，针对“预收费纠纷”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,系统转派,2024-11-29 10:00:26,某装饰工程有限公司,未解决,未评价,转办,某村,某农贸市场
热线-240504-000006,咨询,医疗卫生->医疗服务->挂号与退费,"多样性,七有五性",关于南窖乡某路口人行横道的情况反映,诉求人反映，房山区南窖乡范围内某路口人行横道涉及挂号与退费问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,回复完成,张某,131××××,房山区,南窖乡,已转行业主管部门处理，聚焦“挂号与退费”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与南窖乡相关单位沟通，针对“挂号与退费”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,,2025-04-15 19:13:45,,部分解决,满意,主办,不详,某路口人行横道
热线-250304-000007,建议,生态环境->噪声->施工噪声,七有五性,施工噪声相关诉求,诉求人反映，房山区佛子庄乡范围内某写字楼楼道涉及施工噪声问题，希望相关部门核实责任主体，依法依规处理，并对同类问题开展排查，避免反弹。,已转派,杨某,156××××,房山区,佛子庄乡,,,联合办理,,某物业公司,未解决,满意,主办,不详,某写字楼楼道
热线-241002-000008,建议,医疗卫生->医疗服务->挂号与退费,,关于新镇街道某公园公厕的情况反映,来电人表示，其在房山区新镇街道辖区某公园公厕附近发现医疗服务方面挂号与退费情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,回复完成,郑某,151××××,房山区,新镇街道,,工作人员联系诉求人并开展核实。经与新镇街道相关单位沟通，针对“挂号与退费”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,系统转派,2025-04-05 11:56:00,,部分解决,不满意,转办,某小区业委会,某公园公厕
热线-240718-000009,控烟,,营商环境,写字楼楼道吸烟,市民反映，房山区长阳镇某产业园门口某写字楼存在吸烟问题，影响公共环境，来电反映控烟管理问题。,,王某,150××××,房山区,长阳镇,,经核实，属地已安排工作人员现场劝导并督促管理方落实控烟管理责任。,系统转派,,,,,主办,不详,某产业园门口
热线-240214-000010,建议,医疗卫生->医疗服务->挂号与退费,"多样性,七有五性",挂号与退费相关诉求,市民称，房山区南窖乡某农贸市场附近近期出现与挂号与退费相关的投诉集中情况，涉及群众出行与安全，恳请加强巡查与执法，建立长效机制，并及时回复办理情况。,回复完成,郑某,130××××,房山区,南窖乡,已转属地处理，聚焦“挂号与退费”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与南窖乡相关单位沟通，针对“挂号与退费”问题已安排现场核查与督促整改。因客观条件或证据材料不足，短期内难以完全满足诉求，已告知法律依据与后续途径，诉求人表示知晓。,联合办理,2025-04-25 15:08:19,某装饰工程有限公司,未解决,基本满意,主办,不详,某农贸市场
热线-241222-000011,投诉,劳动和社会保障->社会保险->参保缴费,"多样性,七有五性",参保缴费相关诉求,来电人表示，其在房山区迎风街道辖区某路口人行横道附近发现社会保险方面参保缴费情况，已多次与现场人员沟通未果，现通过热线反映，请属地联合行业主管部门依法处理，并尽快反馈。,已转派,王某,152××××,房山区,迎风街道,已转行业主管部门处理，聚焦“参保缴费”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与迎风街道相关单位沟通，针对“参保缴费”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,系统转派,,某劳务公司,部分解决,满意,主办,不详,某路口人行横道
热线-240611-000012,投诉,科体文宣->体育->健身场所管理,"多样性,七有五性",健身场所管理相关诉求,市民反映，房山区窦店镇窦店物流园周边存在健身场所管理相关问题：一是现场秩序较乱，影响周边居民正常生活；二是希望相关部门现场核查并督促整改；三是请承办单位电话告知处理结果。来电号码为本人联系方式。,办理中,张某,132××××,房山区,窦店镇,已转属地处理，聚焦“健身场所管理”问题开展核查与回访。,工作人员联系诉求人并开展核实。经与窦店镇相关单位沟通，针对“健身场所管理”问题已安排现场核查与督促整改。目前整改措施已落实，诉求人表示知晓。,电话,2024-11-17 20:42:36,,部分解决,基本满意,协办,某某社区,窦店物流园周边
